"","ONS Code","Local Authority","2010.000000","2011.000000","2012.000000","2013.000000","2014.000000","2015.000000","2016.000000","Number of Households 2016 ('000s)2","rate","change10to16","percchange10to16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"England",1768,2181,2309,2414,2744,3569,4134,23228.921,0.18,2366,1.33823529411765
"3",NA,"% change from previous year",NA,0.233597285067873,0.0586886749197616,0.0454742312689476,0.136702568351284,0.300655976676385,0.158307649201457,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"London",415,446,557,543,742,940,964,3589.324,0.27,549,1.32289156626506
"6",NA,"% change from previous year",NA,0.0746987951807229,0.248878923766816,-0.0251346499102334,0.366482504604052,0.266846361185984,0.025531914893617,NA,NA,NA,NA
"7",NA,"% of England total",0.23472850678733,0.204493351673544,0.241229969683846,0.224937862468931,0.270408163265306,0.263379097786495,0.233188195452346,NA,NA,-0.00154031133498392,-0.00656209744638932
"8",NA,"Rest of England",1353,1735,1752,1871,2002,2629,3170,19639.597,0.16,1817,1.34294161123429
"9",NA,"% change from previous year",NA,0.282335550628234,0.00979827089337176,0.0679223744292237,0.0700160342063068,0.313186813186813,0.205781666032712,NA,NA,NA,NA
"10",NA,"% of England total",0.76527149321267,0.795506648326456,0.758770030316154,0.775062137531069,0.729591836734694,0.736620902213505,0.77,NA,NA,0.00472850678733039,0.00617886178861798
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","E07000223","Adur",0,0,0,1,2,0,3,28.275,0.106100795755968,3,Inf
"13","E07000026","Allerdale",1,1,1,3,3,0,3,43.033,0.0697139404642948,2,2
"14","E07000032","Amber Valley",2,3,2,6,6,4,4,54.555,0.0733205022454404,2,1
"15","E07000224","Arun",25,10,26,18,13,15,19,70.554,0.269297275845452,-6,-0.24
"16","E07000170","Ashfield",1,2,3,12,4,8,9,53.514,0.168180289270098,8,8
"17","E07000105","Ashford",2,7,4,1,5,5,8,51.948,0.154000154000154,6,3
"18","E07000004","Aylesbury Vale",10,10,4,14,17,15,26,75.782,0.343089387981315,16,1.6
"19","E07000200","Babergh",2,0,2,4,0,2,7,39.02,0.17939518195797,5,2.5
"20","E09000002","Barking and Dagenham",2,13,8,0,4,20,5,77.025,0.0649139889646219,3,1.5
"21","E09000003","Barnet",7,14,20,24,14,21,22,151.346,0.14536228245213,15,2.14285714285714
"22","E08000016","Barnsley",3,2,5,0,3,9,2,105.792,0.0189050211736237,-1,-0.333333333333333
"23","E07000027","Barrow-in-Furness",2,5,2,1,0,4,4,30.769,0.130000975007313,2,1
"24","E07000066","Basildon",9,9,6,4,0,13,17,77.107,0.220472849417044,8,0.888888888888889
"25","E07000084","Basingstoke and Deane",3,4,8,5,8,20,26,73.645,0.353045013239188,23,7.66666666666667
"26","E07000171","Bassetlaw",1,1,2,17,18,23,10,49.293,0.202868561459031,9,9
"27","E06000022","Bath and North East Somerset",9,4,22,33,27,22,25,76.313,0.327598181174898,16,1.77777777777778
"28","E06000055","Bedford",12,17,19,26,25,51,59,69.126,0.853513873217024,47,3.91666666666667
"29","E09000004","Bexley",8,4,5,4,7,6,11,98.034,0.11220596935757,3,0.375
"30","E08000025","Birmingham",9,7,8,14,20,36,55,431.219,0.127545400365012,46,5.11111111111111
"31","E07000129","Blaby",0,0,1,0,0,0,0,40.111,0,0,NA
"32","E06000008","Blackburn with Darwen",1,2,2,0,0,2,2,57.502,0.0347813989078641,1,1
"33","E06000009","Blackpool",4,5,3,1,3,5,11,63.891,0.172168224006511,7,1.75
"34","E07000033","Bolsover",2,1,2,4,2,4,7,33.938,0.206258471330072,5,2.5
"35","E08000001","Bolton",2,1,1,1,4,8,8,119.574,0.0669041764932176,6,3
"36","E07000136","Boston",9,9,7,5,4,7,5,28.615,0.174733531364669,-4,-0.444444444444444
"37","E06000028","Bournemouth",12,16,11,16,31,47,39,88.825,0.439065578384464,27,2.25
"38","E06000036","Bracknell Forest",1,1,1,2,4,5,10,49.351,0.202630139206906,9,9
"39","E08000032","Bradford",23,30,26,12,10,16,10,205.95,0.0485554746297645,-13,-0.565217391304348
"40","E07000067","Braintree",1,8,4,1,3,4,1,64.179,0.0155814207139407,0,0
"41","E07000143","Breckland",8,5,7,4,6,4,3,57.652,0.0520363560674391,-5,-0.625
"42","E09000005","Brent",3,7,11,6,11,55,24,121.737,0.197146307203233,21,7
"43","E07000068","Brentwood",1,0,1,0,0,0,1,32.238,0.0310192940008685,0,0
"44","E06000043","Brighton and Hove",14,37,43,50,41,78,144,128.108,1.12405158147813,130,9.28571428571429
"45","E06000023","Bristol, City of",8,8,9,41,41,97,74,192.517,0.384381639024086,66,8.25
"46","E07000144","Broadland",0,3,1,1,1,1,0,55.123,0,0,NA
"47","E09000006","Bromley",2,7,2,5,2,4,3,138.999,0.021582889085533,1,0.5
"48","E07000234","Bromsgrove",7,3,3,1,3,4,2,39.495,0.0506393214330928,-5,-0.714285714285714
"49","E07000095","Broxbourne",1,10,4,6,1,0,3,39.624,0.0757116898849182,2,2
"50","E07000172","Broxtowe",1,1,1,0,0,0,1,48.68,0.0205423171733772,0,0
"51","E07000117","Burnley",3,2,2,2,2,3,4,37.856,0.105663567202029,1,0.333333333333333
"52","E08000002","Bury",3,9,3,10,0,9,3,80.496,0.0372689326177698,0,0
"53","E08000033","Calderdale",3,4,2,5,4,2,6,92.634,0.0647710343934193,3,1
"54","E07000008","Cambridge",6,12,20,9,10,18,40,49.783,0.803487134162264,34,5.66666666666667
"55","E09000007","Camden",11,7,5,4,5,15,17,109.538,0.15519728313462,6,0.545454545454545
"56","E07000192","Cannock Chase",0,2,1,2,5,4,4,42.248,0.0946790380609733,4,Inf
"57","E07000106","Canterbury",3,22,20,22,38,47,50,64.965,0.769645193565766,47,15.6666666666667
"58","E07000028","Carlisle",1,1,1,6,0,0,1,49.377,0.0202523442088422,0,0
"59","E07000069","Castle Point",1,1,1,2,0,0,0,37.395,0,-1,-1
"60","E06000056","Central Bedfordshire",5,5,11,13,18,10,19,115.021,0.165187226680345,14,2.8
"61","E07000130","Charnwood",3,2,3,4,4,3,1,71.708,0.0139454454175266,-2,-0.666666666666667
"62","E07000070","Chelmsford",10,9,8,11,10,12,14,73.119,0.191468701705439,4,0.4
"63","E07000078","Cheltenham",1,3,6,3,0,1,11,52.555,0.20930453810294,10,10
"64","E07000177","Cherwell",0,0,2,14,14,21,17,59.696,0.284776199410346,17,Inf
"65","E06000049","Cheshire East",0,3,3,4,12,0,4,164.644,0.0242948422049999,4,Inf
"66","E06000050","Cheshire West and Chester",2,4,3,0,5,5,7,144.393,0.0484788043741733,5,2.5
"67","E07000034","Chesterfield",6,4,3,9,8,0,10,47.935,0.208615833941796,4,0.666666666666667
"68","E07000225","Chichester",15,15,26,19,14,17,19,51.787,0.366887442794524,4,0.266666666666667
"69","E07000005","Chiltern",0,0,2,4,3,1,1,37.918,0.0263726989820138,1,Inf
"70","E07000118","Chorley",2,0,0,1,0,1,0,48.254,0,-2,-1
"71","E07000048","Christchurch",0,0,8,1,2,8,10,22.281,0.448812889906198,10,Inf
"72","E09000001","City of London",20,18,21,35,50,48,50,5,10,30,1.5
"73","E07000071","Colchester",10,24,25,35,2,9,20,76.816,0.260362424494897,10,1
"74","E07000029","Copeland",1,2,0,0,1,2,0,30.613,0,-1,-1
"75","E07000150","Corby",4,10,2,10,9,10,6,27.821,0.215664426152906,2,0.5
"76","E06000052","Cornwall",65,80,50,77,40,65,99,241.264,0.410338881888719,34,0.523076923076923
"77","E07000079","Cotswold",7,5,4,2,4,4,6,37.724,0.159049941681688,-1,-0.142857142857143
"78","E06000047","County Durham",2,2,11,3,13,3,12,229.685,0.0522454666173237,10,5
"79","E08000026","Coventry",5,8,12,26,6,9,13,141.609,0.0918020747268888,8,1.6
"80","E07000163","Craven",1,2,0,2,3,3,1,25.116,0.0398152572065616,0,0
"81","E07000226","Crawley",16,11,17,17,21,33,15,45.587,0.329041174018909,-1,-0.0625
"82","E09000008","Croydon",4,18,22,25,30,51,68,157.169,0.432655294619168,64,16
"83","E07000096","Dacorum",7,4,7,9,7,4,6,63.822,0.0940114693992667,-1,-0.142857142857143
"84","E06000005","Darlington",2,0,1,2,1,1,5,47.266,0.105784284686667,3,1.5
"85","E07000107","Dartford",0,15,16,12,19,10,9,43.408,0.207335053446369,9,Inf
"86","E07000151","Daventry",6,2,0,0,1,1,4,33.042,0.121058047333697,-2,-0.333333333333333
"87","E06000015","Derby",4,21,24,47,26,10,21,105.837,0.198418322514811,17,4.25
"88","E07000035","Derbyshire Dales",0,3,2,3,3,3,2,31.485,0.0635223122121645,2,Inf
"89","E08000017","Doncaster",5,2,1,9,9,9,13,129.574,0.10032876966058,8,1.6
"90","E07000108","Dover",8,14,5,5,4,9,9,50.371,0.178674237160271,1,0.125
"91","E08000027","Dudley",3,4,4,6,6,3,3,132.192,0.0226942628903413,0,0
"92","E09000009","Ealing",5,15,11,15,17,31,27,132.059,0.204454069771844,22,4.4
"93","E07000009","East Cambridgeshire",3,4,3,2,1,1,4,36.769,0.108787293644102,1,0.333333333333333
"94","E07000040","East Devon",3,8,5,4,6,8,5,61.952,0.0807076446280992,2,0.666666666666667
"95","E07000049","East Dorset",0,0,1,0,0,3,0,38.63,0,0,NA
"96","E07000085","East Hampshire",3,2,2,2,1,1,2,49.161,0.040682654950062,-1,-0.333333333333333
"97","E07000242","East Hertfordshire",7,3,4,2,5,5,9,61.03,0.147468458135343,2,0.285714285714286
"98","E07000137","East Lindsey",7,10,3,2,1,6,7,62.345,0.112278450557382,0,0
